nt 102600001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
iSite[nf][iy] 0 3 3
POcclude[nf][iy] 0 3 9.101687e-01
1-POcclude[nf][iy] 0 3 8.983131e-02
PMembraneOcclude[nf][iy] 0 3 0.000000e+00
Prvec0[nf][iy] 0 3 4.466527e-02
rMiSiteBar[nf][iy] 0 3 0.003356
rM2iSiteBar[nf][iy] 0 3 1.257262
iSite[nf][iy] 0 4 4
POcclude[nf][iy] 0 4 9.099477e-01
1-POcclude[nf][iy] 0 4 9.005227e-02
PMembraneOcclude[nf][iy] 0 4 0.000000e+00
Prvec0[nf][iy] 0 4 3.042664e-02
rMiSiteBar[nf][iy] 0 4 0.005402
rM2iSiteBar[nf][iy] 0 4 1.593969
iSite[nf][iy] 0 5 5
POcclude[nf][iy] 0 5 9.099927e-01
1-POcclude[nf][iy] 0 5 9.000730e-02
PMembraneOcclude[nf][iy] 0 5 0.000000e+00
Prvec0[nf][iy] 0 5 2.464541e-02
rMiSiteBar[nf][iy] 0 5 0.004493
rM2iSiteBar[nf][iy] 0 5 1.930704
iSite[nf][iy] 0 6 6
POcclude[nf][iy] 0 6 9.085909e-01
1-POcclude[nf][iy] 0 6 9.140912e-02
PMembraneOcclude[nf][iy] 0 6 0.000000e+00
Prvec0[nf][iy] 0 6 2.043743e-02
rMiSiteBar[nf][iy] 0 6 0.005054
rM2iSiteBar[nf][iy] 0 6 2.265194
iSite[nf][iy] 0 7 7
POcclude[nf][iy] 0 7 9.100593e-01
1-POcclude[nf][iy] 0 7 8.994069e-02
PMembraneOcclude[nf][iy] 0 7 0.000000e+00
Prvec0[nf][iy] 0 7 1.701832e-02
rMiSiteBar[nf][iy] 0 7 0.005957
rM2iSiteBar[nf][iy] 0 7 2.602827
iSite[nf][iy] 0 8 8
POcclude[nf][iy] 0 8 9.095770e-01
1-POcclude[nf][iy] 0 8 9.042297e-02
PMembraneOcclude[nf][iy] 0 8 0.000000e+00
Prvec0[nf][iy] 0 8 1.457654e-02
rMiSiteBar[nf][iy] 0 8 0.005517
rM2iSiteBar[nf][iy] 0 8 2.934815
iSite[nf][iy] 0 9 9
POcclude[nf][iy] 0 9 9.096659e-01
1-POcclude[nf][iy] 0 9 9.033411e-02
PMembraneOcclude[nf][iy] 0 9 0.000000e+00
Prvec0[nf][iy] 0 9 1.242166e-02
rMiSiteBar[nf][iy] 0 9 0.004952
rM2iSiteBar[nf][iy] 0 9 3.270187
iSite[nf][iy] 0 10 10
POcclude[nf][iy] 0 10 9.074541e-01
1-POcclude[nf][iy] 0 10 9.254591e-02
PMembraneOcclude[nf][iy] 0 10 0.000000e+00
Prvec0[nf][iy] 0 10 1.047540e-02
rMiSiteBar[nf][iy] 0 10 0.004743
rM2iSiteBar[nf][iy] 0 10 3.604128
iSite[nf][iy] 0 11 11
POcclude[nf][iy] 0 11 9.066777e-01
1-POcclude[nf][iy] 0 11 9.332230e-02
PMembraneOcclude[nf][iy] 0 11 0.000000e+00
Prvec0[nf][iy] 0 11 9.499676e-03
rMiSiteBar[nf][iy] 0 11 0.004358
rM2iSiteBar[nf][iy] 0 11 3.932601
iSite[nf][iy] 0 12 12
POcclude[nf][iy] 0 12 9.072709e-01
1-POcclude[nf][iy] 0 12 9.272908e-02
PMembraneOcclude[nf][iy] 0 12 0.000000e+00
Prvec0[nf][iy] 0 12 8.472721e-03
rMiSiteBar[nf][iy] 0 12 0.002878
rM2iSiteBar[nf][iy] 0 12 4.258713
iSite[nf][iy] 0 13 13
